Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Andreas Christodoulou,7334,10.94,7.19m,12.20m,1.80m,50.45,14.68,38.03m,4.30m,59.25m,04:50.0
2,Christian Lavorgna,7064,11.48,6.18m,12.53m,1.86m,50.56,15.11,36.71m,4.60m,52.58m,04:33.3
3,Alex Krall,7013,11.06,6.39m,12.35m,1.80m,50.38,14.86,33.90m,4.60m,45.62m,04:34.1
4,Eric Fox,6979,11.38,6.56m,12.98m,1.92m,51.47,16.23,36.74m,4.60m,49.36m,04:41.7
5,Brent Swanberg,6909,11.75,6.77m,13.06m,1.89m,52.54,15.13,39.32m,4.10m,51.25m,04:47.4
6,Cameron Collins,6830,11.44,6.88m,13.17m,1.86m,50.99,17.59,41.05m,3.90m,52.27m,04:38.2
7,Mackenzie Muldoon,6576,11.27,6.73m,11.32m,1.86m,52.05,15.08,33.94m,3.90m,42.86m,04:53.0
8,Paul Haley,6444,11.22,7.43m,13.27m,1.92m,51.03,21.5,36.22m,4.30m,36.59m,04:51.7
8,Grant Rivers,6444,11.89,6.14m,12.42m,1.98m,55.19,15.47,36.87m,4.20m,46.67m,05:03.6
